"ID","Key","Value"
"id-a3e9bd59b2754edaa4a356d042c8bb23","Directed","false"
"id-aba05ade64d64da7b8a553cfcefe5e1a","Directed","false"
"id-b4664edde5a64e5bb2ded29f555448f9","Directed","false"
"id-5da068fd24b8413a9404dc802863b7e4","Directed","false"
"id-abe2d69fa6fc44c894bae40d84db3462","Directed","false"
"id-2d0983cac75543d5b2d7146289700192","Directed","false"
"id-ff9d4ac1e51848268cbe5d467e0d6540","Directed","false"
"id-3e10ec708ac1468c8266975e42e5597a","Directed","false"
"id-7106bbd8f81b450c83b28af9ed806869","Directed","false"
"id-b7875d8ac06f4b0ead2935b43202a3bf","Directed","false"
"id-c425618d96f74581b008baf06cae2485","Directed","false"
"id-9b043f192b0f4ca2a0816781c320d5f8","Directed","false"
"id-7a083426367c4e14805277ef21f5dc73","Directed","false"
"id-184df711f0724b0d8c4979df9a57b6fe","Directed","false"
"id-30c0d5260486429c9b9d615fde95d682","Directed","false"
"id-2b45aea60e884284977167ee511dc205","Directed","false"
"id-86861b9621414971b67773f6fc57c86c","Directed","false"
"id-271d4eb64ad84ebe93f30ca2332b8cc0","Directed","false"
"id-9dd3aa49d0ae4cf6b329be86cac9a1ca","Directed","false"
"id-2869cdc0cd1d4afba7dda77e17061f94","Directed","false"
"id-4508307359654a4e933f4c1eafb61592","Directed","false"
"id-8ad7cd157e0a4f7faf0aa97d662dfde1","Directed","false"
"id-d560a2618a974f38ab807436c8c444d1","Directed","false"
"id-9970a01f19ce4f43b68a007b5ef5ab78","Access_Type","Write"
"id-e92c387ddbc74698b5dc03625a1f3303","Directed","false"
"id-3ee9f29c97d14bd4ac547c6e62bf0fd9","Access_Type","Write"
"id-690d5eea0937484980132fe73b5561bc","Access_Type","Write"
"id-747c180768c148349e1f92002db94f9f","Directed","false"
